date,oi_binance_usd,oi_bybit_usd,oi_kraken_usd,oi_okx_usd,open_interest_usd,oi_venue_count,btc_close,estimated_long_liquidated_usd,estimated_short_liquidated_usd,observed_liquidated_long_usd,observed_liquidated_short_usd,observed_long_event_count,observed_short_event_count,unknown_notional_event_count,liquidation_observation_available,observed_liquidation_dominance_pct,estimated_liquidation_dominance_pct,liquidated_interest_long_usd,liquidated_interest_short_usd,liquidation_dominance_pct,liquidation_source,liquidation_dominance_14d_pct
2019-09-08,,,,,,0,10391.63,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-09,,,,,,0,10307.0,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-10,,,,,,0,10102.02,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-11,,,,,,0,10159.55,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-12,,,,,,0,10415.13,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-13,,,,,,0,10341.34,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-14,,,,,,0,10332.25,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-15,,,,,,0,10302.22,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-16,,,,,,0,10249.27,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-17,,,,,,0,10186.52,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
2019-09-18,,,,,,0,10155.16,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,0.0
